lunch_name,taste,meatiness,sweetness
čočka na kyselo vejce vařené čalamáda,42,0,0
rizoto z drůbežího masa sypané sýrem červená řepa,51,60,0
rybí nugety z aljašské tresky bramborová kaše salátová okurka,67,70,0
zapečený květák s uzeným sýrem brambory vařené s petrželkou kapie,26,25,0
námořnické maso rýže dušená,50,80,0
pohanková kaše slazená medem sypanám kakaem ovocný kompot horká čokoláda,45,0,40
dušené hovězí maso s paprikami a tarhoňou,35,90,0
těstoviny s brokolicí a nivou rajče,21,0,0
chlupaté knedlíky se zelím,45,0,0
bulgur se zeleninou sypané sýrem rajče,30,0,0
rybí nugety z aljašské tresky bramborová kaše,67,70,0
plovdivské maso těstoviny vařené,54,80,0
milánské špagety s luštěninovou směsí a sýrem,39,0,0
brambor.špalíčky se zelím a trhaném kachním masem,57,75,0
vepřová kýta na paprice těstoviny vařené,52,85,0
štěpánská vepřová pečeně houskové knedlíky s žemlí,55,87,0
krůtí svíčková na smetaně houskové knedlíky domácí,70,77,0
srbské rizoto červená řepa,51,40,0
luštěninové rizoto s kroupami a vepřovým masem čalamáda,38,60,0
brambory po milánsku nakládaná cibulka,26,0,0
vepřová panenka na slanince brambory šťouchané s jarní cibulkou,60,90,0
kuřecí roláda bramborová kaše okurka sterilovaná,62,82,0
karbanátky pečené bramborová kaše salátová okurka,68,75,0
obalovaný losos s medem a hořčicí brambory vařené rajče,58,65,10
kantonské nudle s kuřecím masem listy ledového salátu,45,67,0
bramborové taštičky se sýrem míchaný zeleninový salát,48,0,0
srbské rizoto nakládaná cibulka,51,40,0
tarhoňa se žampiony a houbovým prachem rajčatový salát,14,0,0
zapečený květák s uzeným sýrem brambory vařené listy ledového salátu,25,25,0
rybí prsty smažené bramborová kaše nakládané kukuřičky,70,67,0
vepřová kýta po selsku dušené hlávkové zelí bramborové knedlíky,50,85,0
vepřové výpečky špenát dušený bramborové knedlíky,54,90,0
obalovaná treska se špenátem bramborová kaše listy ledového salátu,45,67,0
bramborák uzená krkovice zelí,54,77,0
hovězí plátek po provensálsku rýže dušená,52,82,0
zapečené brambory se smetanou a vepřovou kotletou rajče,53,82,0
grilované kuřecí stehno brambory šťouchané s pažitkou obloha,63,82,0
hamburger s trhaným kuřecím masem,78,82,0
kuřecí kostky na nivě rýže jasmínová,40,75,0
poděbradské maso těstoviny rýžové,54,80,0
bulgurový pilaf se sumečkem okurka sterilovaná,25,60,0
kuřecí nudličky v liškové omáčce se spätzlemi,50,72,0
pštrosí vejce bramborová kaše listy římského salátu,60,60,0
čočka na přírodní způsob vaječná omeleta okurka kyselá,45,0,0
kotlíkový perkelt špaldové knedlíky,52,82,0
kuřecí nudličky s mandlemi a rýží,51,77,0
luhačovický špaček bramborová kaše,69,77,0
špagety po boloňsku,58,75,0
kukuřičný klas restovaná zelenina na másle kaiserka,32,0,0
těstoviny s brokolicí a nivou okurkový salát,22,0,0
bramborové knedlíky plněné uzeným masem,51,75,0
rýžová kaše s grankem maštěné máslem granko,45,0,50
lasagne s mletým masem okurka salátová,60,80,0
kuřecí kostky na nivě brambory vařené,40,77,0
pečené vepřové koleno strouhaný křen hořčice chléb,60,100,0
makové šišky z brambor. těsta maštěné máslíčkem ovocný kompot granko,60,0,50
gnocchi s houbovou omáčkou,27,0,0
gnocchi s kuřecím masem list špenátem a smetanou,18,72,0
tarhoňa se žampiony a houbovým prachem červená řepa,13,0,0
vepřové kostky na houbách rýže dušená,50,82,0
vrtule s mákem ovocný kompot kakao nesquik,60,0,40
kuřecí roláda brambory vařené,55,80,0
lososové nugetky bramborová kaše kapie,65,65,0
hovězí dušené kostky na zelenině rýže divoká,47,87,0
kuřecí marinovaný plátek čočka na přírodní způsob,38,72,0
luštěninový salát s makrelou pečivo,30,70,0
rybí file na másle s citronem bramborová kaše okurka sterilovaná,59,75,0
hovězí maso stroganov rýže dušená,52,87,0
těstoviny s bešamelem červená řepa,31,0,0
rizoto z drůbežího masa sypané sýrem listy ledového salátu,51,60,0
ravioli plněné sypané strouhaným tvarohem a cukrem kakao,58,0,50
drůbeží játra na cibulce rýže dušená,51,72,0
rybí karbanátky pečené se sýrem bramborová kaše,61,70,0
rýžové špagety s tofu a zeleninou nakládaná cibulka,5,0,0
holandský řízek bramborová kaše mrkvový salát,85,80,0
kuřecí řízek smažený brambory opečené okurka kyselá,82,87,0
studentský řízek bramborová kaše rajčatový salát,75,82,0
krůtí kostky na tymiánu rýže jasmínová,50,80,0
lasagne s mletým masem,60,80,0
singapurské nudle kapie,45,0,0
bulgur rizoto se zeleninou a kuřecím masem okurka sterilovaná,35,60,0
zapečené špagety s mletým masem kapie,60,80,0
studentský řízek bramborová kaše okurka sterilovaná,75,82,0
špecle s vepřovým masem a rajčaty okurkový salát,50,82,0
vepřové kostky na kmíně rýže dušená,50,85,0
kuskus se zeleninou a vepřovým masem,24,75,0
bulgurové rizoto s luštěninou,30,0,0
kuřeci prsa na česneku bramborové knedlíky,58,85,0
sekaný biftek brambory vařené s petrželkou okurka salátová,65,77,0
pečená tarhoňa s restovanou zeleninou a tofu strouhaná mrkvička,0,0,0
kuřecí nudličky grilované s americkým bramborem rajče,58,77,0
šťavnaté kuřecí kousky s fazolkami a rýží basmati,50,75,0
hadí ocásky s nebeským prachem,5,0,0
škubánky s mákem ovocný kompot granko,62,0,50
kuřecí paličky pečené rýže jasmínová,58,80,0
námořnické maso bramborové noky,50,80,0
treska zapečená s jogurtem sýrem a bylinkami brambory šťouchané s jarní cibulkou,35,65,0
kaše z ovesných vloček s lentilkovým posypem ovocný kompot káva bílá,47,0,40
palačinky s nutelou a smetanovým krémem banánový koktejl,92,0,95
těstoviny s makrelou,35,67,0
vepřové dušené v kapustě brambory vařené,40,80,0
zeleninové lívance brambory šťouchané s jarní cibulkou,15,0,0
filety ze žraloka pečené na másle brambory vařené kapie,55,75,0
brokolice se smetanovou omáčkou brambory vařené,22,0,0
rybí filety na drceném kmíně brambory vařené s petrželkou ledový salát s ředkvičkou,55,75,0
rybí nugety z aljašské tresky brambory vařené s petrželkou ledový salát,67,70,0
rybí filé zapečené se sýrem brambory vařené,53,70,0
kuřecí plátek přírodní gratinované brambory,60,80,0
moravský vrabec špenát dušený houskové knedlíky domácí,55,90,0
zapečené brambory s uzeným masem brokolicový salát,50,65,0
těstoviny s bešamelem rajče,31,0,0
hovězí maso na žampiónech rýže dušená,52,82,0
kuřecí kousky přírodní rýže dušená se zeleným hráškem,49,77,0
spätzle s borůvkovou omáčkou káva bílá,60,0,50
králík na zelenině s listovým špenátem bramborové šišky,42,75,0
hrachová kaše s cibulkou marinovaný vepřový plátek salát z bílého zelí,35,82,0
kuřecí maso kung pao čínské nudle,49,80,0
salát s červenou čočkou pečivo,20,0,0
palačinky s nutelou a smetanovým krémem ovocný kompot kakao,92,0,95
krůtí prsa se zeleninou ratatouille těstoviny bramborové,40,70,0
koprová omáčka vejce vařené houskové knedlíky domácí,54,0,0
kantonská rýže strouhaná mrkvička,30,0,0
vepřová plec na slanině bramborové knedlíky,52,85,0
zapečená brokolice s bramborem a vaječnou zálivkou,22,0,0
masové kuličky s bylinkami a cibulkou jemná cizrnová omáčka brambory vařené,55,70,0
kuskus se zeleninou červená řepa,20,0,0
lasagne s vanilkovým krémem a ovocem granko,62,0,85
kuřecí plátek s anglickou slaninou a sýrem americké brambory,57,82,0
bratislavské vepřové plecko špaldové knedlíky,50,87,0
krůtí svíčková na smetaně celozrnné houskové knedlíky,70,77,0
dukátové buchtičky s krémem káva mléčná,69,0,75
drůbeží rizoto sypané sýrem červená řepa,51,60,0
hovězí svíčková na smetaně karlovarský knedlík,68,90,0
vinná klobása bramborová kaše kapie,85,77,0
italský guláš těstoviny rýžové,51,80,0
obalovaná treska se sýrem bramborová kaše listy ledového salátu,60,70,0
rybí file zapečené s vejci brambory vařené s petrželkou okurka salátová,48,70,0
kuřecí sekaný steak na kari se smetanou a sýrem bramborová kaše,60,77,0
grenadýrský pochod ledový salát s ředkvičkou,44,0,0
mexické fazole v tortille,20,0,0
bavorské vdolečky banánové mléko,67,0,70
grenadýrský pochod okurka sterilovaná,44,0,0
rybí filety na drceném kmíně gratinované brambory,54,70,0
kuřecí stehno uzené bramborová kaše čalamáda,65,82,0
rybí filety na drceném kmíně brambory vařené rajče,55,75,0
fazole po milánsku s vepřovým masem pečivo,45,82,0
čínské nudle se zeleninou,32,0,0
nugety z lososa nemleté obalované bramborová kaše ledový salát,65,65,0
námořnické maso bramborové knedlíky,52,80,0
vepřové maso pečené fazole po boloňsku,40,87,0
luciferova brambora čertovo kopyto s chlupy z pekelníka,10,0,0
rybí filety na drceném kmíně brambory šťouchané s pažitkou listy ledového salátu,55,70,0
fish and chips brambory vařené tatarská omáčka,65,70,0
těstoviny s krůtím masem zeleninou a žampiony,50,72,0
kantonské nudle s kuřecím masem hlávkový salát,45,75,0
těstoviny s bešamelem okurka salátová,31,0,0
bretaňská zelenina brambory opečené bylinkový dresink,35,0,0
zeleninové lečo s vejci brambory vařené,45,0,0
žemličková nádivka s králičím masem bramborové knedlíky špenát dušený,54,75,0
přírodní krůtí plátek kuskus,35,65,0
hovězí maso na pepři houskové knedlíky domácí,54,85,0
masové koule v rajčatové omáčce houskové knedlíky domácí,70,82,0
vepřové medailonky na bílém pepři brambory šťouchané s jarní cibulkou,55,87,0
kaše z ovesných vloček sypaná skořicí ovocný kompot káva mléčná,46,0,70
vepřová plec na slanině bramborové noky,50,85,0
vepřové výpečky bramborové knedlíky špenát dušený,54,90,0
čočkový karbanátek bramborová kaše čalamáda,45,0,0
pikantní kuřecí maso v tortile bylinkový dresink,55,80,0
grenadýrský pochod,44,0,0
kuřecí paličky pečené v marinádě bbq brambory opečené kapie,63,85,0
smetanové brambory zapečené se sýrem kapie,40,0,0
žemlovka s jablky a tvarohem horká čokoláda,60,0,85
mexické rizoto s vepřovým masem nakládaná cibulka,51,82,0
zapečené palačinky s tvarohem ochucené mléko,65,0,75
jehněčí maso pečené bramborové noky červené zelí dušené,64,90,0
gnocchi v rajčatové omáčce s parmazánem,30,0,0
rýžový nákyp s ovocem kakao nesquik,63,0,70
vepřová kýta na paprice houskové knedlíky s žemlí,50,85,0
rizoto s krabím masem okurka sterilovaná,51,65,0
fazole chilli con carne s vepřovým masem pečivo,48,85,0
obalovaná treska s bylinkovou omáčkou bramborová kaše rajče,60,70,0
hovězí líčka s kořenovou zeleninou brambory šťouchané s jarní cibulkou,50,90,0
babičino pečené kuře na tymiánu brambory vařené,57,80,0
čočka na přírodní způsob pizza,48,0,0
smažené rybí karbanátky bramborová kaše rajče,65,70,0
vepřové maso v mrkvi brambory vařené,48,80,0
smetanové brambory zapečené se sýrem rajče,40,0,0
obalovaná treska se sýrem brambory vařené rajče,55,70,0
zapečené těstoviny s uzeninou čerstvá zelenina,52,70,0
trhané kachní maso červené zelí se sušenou švestkou bramborové knedlíky,58,90,0
těstovinový salát s makrelou pečivo,50,62,0
kuřecí špalíček a-lá bažant bramborové knedlíky bezlepkové,55,82,0
zeleninové krupoto sypané sýrem,10,0,0
čevabčiči s cibulí a hořčicí brambory vařené okurkový salát,69,80,0
kuřecí závitek bramborová kaše čalamáda,60,80,0
těstoviny se zeleninou žampiony a vepř.masem okurkový salát,51,80,0
vepřová kýta po selsku špenát dušený houskové knedlíky s žemlí,50,85,0
jáhlová kaše s medem a oříšky ovocný salát horká čokoláda,40,0,50
krůtí roláda rýže dušená se zeleným hráškem,54,77,0
tarhoňa se žampiony a houbovým prachem okurkový salát,14,0,0
mexický guláš houskové knedlíky domácí,50,85,0
dukátové buchtičky s krémem,69,0,90
rizoto s krabím masem nakládaná cibulka,51,50,0
zapečené těstoviny s uzeným masem nakládané feferony,52,80,0
kuřecí perkelt těstoviny bramborové,55,80,0
pštrosí vejce bramborová kaše,60,60,0
těstoviny s bešamelem listy ledového salátu,31,0,0
lasagne s brokolicí a sýrem,24,0,0
hovězí maso na pepři celozrnné houskové knedlíky,54,90,0
čočka na kyselo vaječná omeleta čalamáda,46,0,0
vegetariánské špagety po boloňsku,45,0,0
novohradský vepřový plátek těstoviny rýžové,50,85,0
rybí filé zapečené se sýrem brambory vařené čerstvá zelenina,52,65,0
čočkové ragú se špagetami sypané sýrem,32,0,0
pečený filet z mořské tresky dušená zelenina romanesco,44,65,0
vepřové maso po italsku těstoviny vařené,52,85,0
přírodní krůtí plátek brambory vařené dušená bretaňská zelenina,48,75,0
halušky se zelím a slaninou okurkový salát,62,40,0
gnocchi se smetanovým špenátem,10,0,0
zapečený květák s uzeným sýrem brambory šťouchané s jarní cibulkou rajčatový salát,26,0,0
maso tří barev kuskus,35,90,0
vepřová kýta po selsku houskové knedlíky domácí dušené hlávkové zelí,50,90,0
ruská hovězí pečeně špaldové knedlíky,51,90,0
kuřecí prsa pečená na medu rýže jasmínová,51,80,15
bramborové šišky se strouhankou granko ovocný kompot,50,0,60
mořská štika s bazalkou a rajčaty bramborová kaše listy ledového salátu,60,70,0
hovězí maso na pepři brambory vařené,52,90,0
bratislavské vepřové plecko houskové knedlíky s žemlí,50,90,0
gratinované brambory s květákem rajče,43,0,0
krůtí prsa na rozmarýnu šťouchané brambory s pažitkou,56,75,0
vepřová panenka na slanince rýže dušená,58,85,0
mexické rizoto s drůbežím masem červená řepa,51,50,0
zapečené špagety s mletým masem,60,80,0
mletý řízek s nivou bramborová kaše okurka salátová,66,80,0
kuřecí plátek s anglickou slaninou a sýrem brambory vařené strouhaná mrkvička,57,85,0
vepřové kostky na kmíně těstoviny vařené,53,80,0
hovězí pečeně po pražsku houskové knedlíky domácí,58,90,0
žemlovka s jablky a tvarohem mléko,62,0,75
rýžová kaše s grankem maštěné máslem ovocný kompot mléko,47,0,60
mexické rizoto s vepřovým masem kapie,51,50,0
cuketový flamendr kuskus,10,0,0
drůbeží játra na cibulce rýže jasmínová,51,80,0
zapečené těstoviny s uzeninou červená řepa,52,60,0
kuřecí roláda rýže s pohankou,55,80,0
zapečené palačinky s tvarohem káva bílá,65,0,75
sekaná pečeně na smetaně houskové knedlíky domácí,59,85,0
vepřová panenka na slanince brambory vařené,60,85,0
debrecínský vepřový guláš celozrnné houskové knedlíky,54,85,0
kuřecí nudličky s těstovinou a sýrovou omáčkou,40,70,0
segedínský guláš houskové knedlíky domácí,52,85,0
jehněčí maso pečené karlovarský knedlík špenát dušený,55,95,0
nádivka míchaný zeleninový salát,30,0,0
vepřový guláš celozrnné houskové knedlíky,52,85,0
halušky z bylinkového těsta šopský salát,45,0,0
kuskus s ovocnou omáčkou a strouhaným tvarohem ovocný kompot kakao nesquik,32,0,60
škubánky s mákem kakao nesquik,62,0,60
kukuřičný klas restovaná zelenina na másle,32,0,0
domácí buchty plněné bílá káva,60,0,85
rýže basmati s kukuřicí sypané petrželkou strouhaná mrkvička,35,0,0
nudle s tvarohem a cukrem maštěné máslem ovocný kompot kakao,60,0,65
myslivecké zelí bramborové noky,40,0,0
palačinky s marmeládou káva bílá,95,0,70
myslivecké zelí bramborové knedlíky,45,0,0
vepřové kostky na pepři bramborové knedlíky,51,85,0
novohradský vepřový plátek rýže dušená,50,85,0
hovězí maso vařené rajská omáčka houskové knedlíky domácí,61,90,0
spätzle s hruškama a tvarohem perníkový posyp granko,59,0,60
vepřové nudličky na celeru těstoviny vařené,55,80,0
marinovaný vepřový plátek hrachová kaše s cibulkou okurka sterilovaná,42,80,0
vepřový plátek plněný šunkou a sýrem brambory opečené,55,85,0
kuřecí plátek přírodní brambory vařené okurkový salát,60,75,0
kuřecí plátek přírodní dušená zelenina,40,75,0
rýžové těstoviny s krůtím m. zeleninou a žampiony červená řepa,42,70,0
bavorské vdolečky jahodový koktejl,67,0,80
kuřecí řízek smažený bramborový salát,89,95,0
späctzle se sýrovou omáčkou a bylinkami,30,0,0
hrachová kaše s cibulkou plátek šunky od kosti okurka sterilovaná,35,50,0
maso tří barev rýže dušená,50,90,0
vepřové maso po znojemsku rýže dušená brokolicový salát,46,85,0
jitrnicový prejt brambory vařené zelí sladko-kyselé,48,75,0
žemlovka s jablky kakao nesquik,60,0,75
kachní prso pečené houskové knedlíky domácí červené zelí dušené,67,100,0
lasagne s brokolicí a sýrem rajče,24,0,0
čočka na přírodní způsob sázená vejce okurka sterilovaná,41,0,0
cikánská hovězí pečeně houskové knedlíky domácí,52,90,0
lasagne s mletým masem červená řepa,60,85,0
hovězí pečeně přírodní těstoviny vařené,50,90,0
bulgur s vepřovým masem zeleninou a quinenou červená řepa,32,80,0
těstovinový salát se zeleninou a tuňákem,45,65,0
trhané kachní maso na šafránových brambůrkách višňová omáčka,55,100,0
kuřecí marinovaný plátek hrachová kaše s cibulkou okurka sterilovaná,42,80,0
koprová omáčka houskové knedlíky domácí,50,0,0
francouzské brambory červená řepa,50,0,0
krůtí prsa na rozmarýnu brambory šťouchané s pažitkou,56,75,0
zeleninové řízečky brambory šťouchané s jarní cibulkou,40,0,0
šoulet s vepřovým plátkem nakládaná cibulka,23,80,0
krůtí roláda bramborová kaše nakládaná cibulka,62,80,0
čočkový salát s vejci kaiserka,25,0,0
kuřecí marinovaný plátek čočka na přírodní způsob ledový salát,38,80,0
trhané kachní maso na šafránových brambůrkách,55,100,0
krůtí prsa na houbách žampionech rýže jasmínová,55,80,0
cikánská hovězí pečeně těstoviny vařené,53,90,0
žemlovka s jablky granko,60,0,75
hrachová kaše s cibulkou kuřecí stehno pečené zelný salát,37,80,0
brokolice zapékaná s nivou brambory vařené s petrželkou kapie,25,0,0
sekaná pečeně na smetaně široké nudle,59,80,0
těstoviny s bešamelem nakládaná cibulka,31,0,0
luštěninové lasagne,45,0,0
bramborové taštičky se sýrem obloha zeleninová,49,0,0
hrachová kaše s cibulkou vejce sázené zelí sladko-kyselé,35,0,0
kuskus se zeleninou a vepřovým masem ledový salát,24,80,0
tortellini se sýrovou omáčkou,42,0,0
marinovaný vepřový plátek hrachová kaše s cibulkou nakládané kukuřičky,42,80,0
rybí filety na drceném kmíně bramborová kaše rajče,59,65,0
novohradský vepřový plátek tarhoňa,30,85,0
rybí prsty smažené bramborová kaše rajče,70,70,0
kuřecí prsa na hříbkové omáčce se spätzlemi,50,80,0
krupicová kaše s kakaem ovocný kompot kakao nesquik,45,0,70
hrachová kaše s cibulkou kuřecí prsní plátek uzený okurka sterilovaná,35,80,0
těstovinový salát s kuřecím masem pečivo,50,70,0
rybí file zapečené s vejci brambory vařené s petrželkou kapie,48,65,0
vepřové maso pečené bretaňská zelenina na máslíčku brambory vařené,48,85,0
pečené kuře brambory vařené,61,80,0
čevabčiči s cibulí a hořčicí brambory,68,90,0
chlupaté knedlíky se zelím slaninou a cibulkou,55,55,0
vepřové výpečky bramborové knedlíky dušené zelí,56,95,0
kuřecí paličky pečené v marinádě bbq brambory vařené,63,80,0
česneková omáčka uzená krkovice vdolek,45,85,0
vepřové maso po znojemsku celozrnné houskové knedlíky,52,85,0
lasagne s brokolicí a sýrem ledový salát,24,0,0
grilovaný hermelín brambory opečené obloha zeleninová,42,0,0
masové koule v rajčatové omáčce těstoviny vařené,70,80,0
masové klopsy mexické fazole,48,80,0
halušky se zelím a slaninou salátová okurka,61,50,0
vepřová panenka na sekané bazalce rýže jasmínová,57,85,0
rybí filé zapečené se sýrem brambory vařené s petrželkou čerstvá zelenina,52,65,0
vepřová roláda s medvědím česnekem bramborová kaše okurka sterilovaná,58,85,0
špekové knedlíky dušené hlávkové zelí,50,55,0
mletý řízek s nivou brambory opečené listy ledového salátu,63,80,0
jáhlová kaše s medem a oříšky ovocný salát granko,40,0,50
krůtí maso pečené dušená baby mrkvička brambory vařené,40,80,0
kynuté mřížky s pudinkem a jahodou granko,69,0,80
nudle s mákem maštěné máslíčkem kakao jablko,55,0,60
bramborové šišky se strouhankou mléko,50,0,60
čočkový salát chléb,20,0,0
brambor. špalíčky se zelím a trhaném kachním masem,57,90,0
luštěninové rizoto s kroupami a vepřovým masem okurka kyselá,38,80,0
kuřecí kousky na zbojnický způsob bramborové noky,51,80,0
vrtule s mákem ovocný kompot ochucené mléko,60,0,60
hovězí maso v kapustě brambory vařené,44,80,0
lasagne s mletým masem kapie,60,85,0
mletý řízek s nivou bramborová kaše červená řepa,65,80,0
lipnický špaček bramborová kaše paprika čerstvá,68,80,0
vepřové nudličky po čínsku se zeleninou rýže dušená,45,85,0
lívance se skořicí kakao,62,0,60
halušky se zelím a slaninou mrkvový salát,62,50,0
sekaná pečeně bramborová kaše,72,80,0
lasagne s rybím masem a špenátem,23,50,0
tarhoňa s houbovým prachem a žampiony nakládané feferony,13,0,0
brambory s tvarohem maštěné máslíčkem ovocný kompot,32,0,15
späctzle se sýrovou omáčkou a bylinkami rajčatový salát,30,0,5
bavorské vdolečky mléko,67,0,75
roštěná z telecí kýty rýže dušená,53,90,0
masová haše brambory vařené zelný salát,49,80,0
bramborové šišky se strouhankou káva bílá,50,0,5
zapečená brokolice s bramborem a vaječnou zálivkou rajče,22,0,0
hrachová kaše s cibulkou kuřecí marinovaný plátek okurka sterilovaná,35,80,0
spätzle s borůvkovou omáčkou granko,60,0,85
sekaná pečeně brambory šťouchané s jarní cibulkou listy ledového salátu,62,80,0
džuveč červená řepa,40,0,0
kuřecí maso po čínsku tříbarevná rýže,50,80,0
hovězí kostky na divoko bramborové knedlíky,51,90,0
drůbeží játra na cibulce rýže dušená se zeleným hráškem,50,80,0
zapečené brambory se smetanou a vepřovou kotletou nakládaná cibulka,53,85,0
šišky z kynutého těsta ochucené mléko,60,0,60
sekaná pečeně brambory šťouchané s jarní cibulkou okurka sterilovaná,62,80,0
špagety po milánsku,58,75,0
poděbradské maso houskové knedlíky domácí,55,90,0
nudlový nákyp s tvarohem a jablky horká čokoláda ovocný kompot,59,0,30
bulgur rizoto se zeleninou a sýrem listy římského salátu,30,0,0
andělské gnocchi s mikulášskou mlhovinou,30,0,0
grenadýrský pochod nakládaná cibulka,44,0,0
hovězí pečeně přírodní bulgur perníčky,43,90,0
vepřová panenka s fazolovými lusky brambory vařené červená řepa,55,80,0
krůtí paprikáš houskové knedlíky domácí,55,80,0
zapečené těstoviny s uzeným masem čalamáda,52,75,0
gnocchi s grilovanou zeleninou a parmazánem okurkový salát,28,0,0
bramborový nákyp s mletým masem rajčatový salát,60,80,0
ruská hovězí pečeně houskové knedlíky s žemlí,51,90,0
koprová omáčka vejce vařené houskové knedlíky s žemlí,54,0,0
houskové knedlíky polévané jahodovou omáčkou,55,0,60
hovězí maso vařené rajská omáčka těstoviny vařené,62,90,0
vepřová kýta na paprice těstoviny vařené míchaný zeleninový salát,52,85,0
kuřecí špalíček a-lá bažant bramborové noky,53,80,0
krůtí prsa na žampionech brambory vařené,55,80,0
hovězí dušené kostky na zelenině houskové knedlíky domácí,48,90,0
kuřecí stehno uzené s grilovanou kukuřicí,57,75,0
obalovaný sýr brambory vařené s petrželkou tatarská omáčka,65,0,0
krůtí nudličky na kari rýže jasmínová,50,80,0
nudle s tvarohem a cukrem maštěné máslem ovocný kompot,60,0,25
bavorské vdolečky káva mléčná,67,0,70
cibulové kroužky s pikantní rajčatovou omáčou čerstvá zelenina,52,0,0
čočka na přírodní způsob uzená kýta zelný salát s mrkví,40,80,0
rýžová kaše s grankem maštěné máslem ovocný kompot kakao,47,0,50
hovězí pečeně znojemská houskové knedlíky s žemlí,56,90,0
krůtí kostky po debrecínsku houskové knedlíky domácí,51,82,0
bramborové šišky se strouhankou ovocný kompot kakao nesquik,50,0,30
rybí file na křenu se smetanou brambory vařené okurka kyselá,53,60,0
kuřecí roláda rýže dušená,55,80,0
mix trhaných salátů s rajčaty karotkou a kuř.masem celozrnná bageta,40,50,0
houbový kuba nakládané feferony,50,0,0
trhané kachní maso dušené hlávkové zelí houskové knedlíky s žemlí,57,95,0
moravský vrabec bramborové knedlíky červené zelí dušené,58,95,0
kuřecí nudličky na kari rýže dušená,50,80,0
krůtí maso po zahradnicku bulgur,39,80,0
grenadýrský pochod nakládané feferony,44,0,0
krůtí kousky na zbojnický způsob bramborové noky,51,80,0
zapečené těstoviny s uzeným masem červená řepa,52,70,0
těstovinový salát s kuřecím masem,48,60,0
nudle s tvarohem a cukrem maštěné máslem kakao,60,0,25
kantonské nudle s kuřecím masem okurkový salát,45,80,0
