lunch_name,taste,meatiness,sweetness,healthiness
čočka na kyselo vejce vařené čalamáda,42,0,0,60
rizoto z drůbežího masa sypané sýrem červená řepa,51,20,0,50
rybí nugety z aljašské tresky bramborová kaše salátová okurka,67,20,0,40
zapečený květák s uzeným sýrem brambory vařené s petrželkou kapie,26,20,0,55
námořnické maso rýže dušená,50,35,0,45
pohanková kaše slazená medem sypanám kakaem ovocný kompot horká čokoláda,45,0,40,30
dušené hovězí maso s paprikami a tarhoňou,35,40,0,50
těstoviny s brokolicí a nivou rajče,21,0,0,65
chlupaté knedlíky se zelím,45,0,0,45
bulgur se zeleninou sypané sýrem rajče,30,0,0,60
rybí nugety z aljašské tresky bramborová kaše,67,20,0,40
plovdivské maso těstoviny vařené,54,40,0,45
milánské špagety s luštěninovou směsí a sýrem,39,10,0,50
brambor.špalíčky se zelím a trhaném kachním masem,57,45,0,40
vepřová kýta na paprice těstoviny vařené,52,45,0,45
štěpánská vepřová pečeně houskové knedlíky s žemlí,55,40,0,50
krůtí svíčková na smetaně houskové knedlíky domácí,70,40,0,55
srbské rizoto červená řepa,51,15,0,45
luštěninové rizoto s kroupami a vepřovým masem čalamáda,38,30,0,40
brambory po milánsku nakládaná cibulka,26,0,0,50
vepřová panenka na slanince brambory šťouchané s jarní cibulkou,60,55,0,50
kuřecí roláda bramborová kaše okurka sterilovaná,62,35,0,50
karbanátky pečené bramborová kaše salátová okurka,68,40,0,40
obalovaný losos s medem a hořčicí brambory vařené rajče,58,20,10,50
kantonské nudle s kuřecím masem listy ledového salátu,45,30,0,50
bramborové taštičky se sýrem míchaný zeleninový salát,48,0,0,60
srbské rizoto nakládaná cibulka,51,15,0,45
tarhoňa se žampiony a houbovým prachem rajčatový salát,14,0,0,55
zapečený květák s uzeným sýrem brambory vařené listy ledového salátu,25,20,0,55
rybí prsty smažené bramborová kaše nakládané kukuřičky,70,20,0,35
vepřová kýta po selsku dušené hlávkové zelí bramborové knedlíky,50,45,0,40
vepřové výpečky špenát dušený bramborové knedlíky,54,50,0,40
obalovaná treska se špenátem bramborová kaše listy ledového salátu,45,20,0,40
bramborák uzená krkovice zelí,54,45,0,35
hovězí plátek po provensálsku rýže dušená,52,40,0,45
zapečené brambory se smetanou a vepřovou kotletou rajče,53,45,0,40
grilované kuřecí stehno brambory šťouchané s pažitkou obloha,63,35,0,50
hamburger s trhaným kuřecím masem,78,40,0,35
kuřecí kostky na nivě rýže jasmínová,40,40,0,45
poděbradské maso těstoviny rýžové,54,30,0,45
bulgurový pilaf se sumečkem okurka sterilovaná,25,10,0,55
kuřecí nudličky v liškové omáčce se spätzlemi,50,30,0,50
pštrosí vejce bramborová kaše listy římského salátu,60,30,0,45
čočka na přírodní způsob vaječná omeleta okurka kyselá,45,0,0,55
kotlíkový perkelt špaldové knedlíky,52,45,0,45
kuřecí nudličky s mandlemi a rýží,51,30,0,50
luhačovický špaček bramborová kaše,69,40,0,40
špagety po boloňsku,58,35,0,45
kukuřičný klas restovaná zelenina na másle kaiserka,32,0,0,60
těstoviny s brokolicí a nivou okurkový salát,22,0,0,60
bramborové knedlíky plněné uzeným masem,51,45,0,40
rýžová kaše s grankem maštěné máslem granko,45,0,50,25
lasagne s mletým masem okurka salátová,60,40,0,45
kuřecí kostky na nivě brambory vařené,40,40,0,45
pečené vepřové koleno strouhaný křen hořčice chléb,60,60,0,30
makové šišky z brambor. těsta maštěné máslíčkem ovocný kompot granko,60,0,50,25
gnocchi s houbovou omáčkou,27,0,0,50
gnocchi s kuřecím masem list špenátem a smetanou,18,35,0,50
tarhoňa se žampiony a houbovým prachem červená řepa,13,0,0,55
vepřové kostky na houbách rýže dušená,50,45,0,45
vrtule s mákem ovocný kompot kakao nesquik,60,0,40,30
kuřecí roláda brambory vařené,55,35,0,45
lososové nugetky bramborová kaše kapie,65,20,0,45
hovězí dušené kostky na zelenině rýže divoká,47,50,0,50
kuřecí marinovaný plátek čočka na přírodní způsob,38,30,0,50
luštěninový salát s makrelou pečivo,30,10,0,65
rybí file na másle s citronem bramborová kaše okurka sterilovaná,64,20,0,50
hovězí maso stroganov rýže dušená,52,50,0,45
těstoviny s bešamelem červená řepa,31,0,0,50
rizoto z drůbežího masa sypané sýrem listy ledového salátu,51,20,0,50
ravioli plněné sypané strouhaným tvarohem a cukrem kakao,58,0,50,30
drůbeží játra na cibulce rýže dušená,51,0,0,45
rybí karbanátky pečené se sýrem bramborová kaše,61,20,0,45
rýžové špagety s tofu a zeleninou nakládaná cibulka,5,0,0,60
holandský řízek bramborová kaše mrkvový salát,85,45,0,40
kuřecí řízek smažený brambory opečené okurka kyselá,82,60,0,35
studentský řízek bramborová kaše rajčatový salát,75,50,0,40
krůtí kostky na tymiánu rýže jasmínová,50,35,0,50
lasagne s mletým masem,60,40,0,45
singapurské nudle kapie,45,0,0,55
bulgur rizoto se zeleninou a kuřecím masem okurka sterilovaná,35,20,0,55
zapečené špagety s mletým masem kapie,60,35,0,45
studentský řízek bramborová kaše okurka sterilovaná,75,50,0,40
špecle s vepřovým masem a rajčaty okurkový salát,50,40,0,45
vepřové kostky na kmíně rýže dušená,50,45,0,45
kuskus se zeleninou a vepřovým masem,24,20,0,55
bulgurové rizoto s luštěninou,30,10,0,60
kuřeci prsa na česneku bramborové knedlíky,58,35,0,45
sekaný biftek brambory vařené s petrželkou okurka salátová,65,50,0,45
pečená tarhoňa s restovanou zeleninou a tofu strouhaná mrkvička,0,0,0,55
kuřecí nudličky grilované s americkým bramborem rajče,58,35,0,45
šťavnaté kuřecí kousky s fazolkami a rýží basmati,50,30,0,50
hadí ocásky s nebeským prachem,5,0,0,0
škubánky s mákem ovocný kompot granko,62,0,50,30
kuřecí paličky pečené rýže jasmínová,58,35,0,50
námořnické maso bramborové noky,50,40,0,45
treska zapečená s jogurtem sýrem a bylinkami brambory šťouchané s jarní cibulkou,35,20,0,50
kaše z ovesných vloček s lentilkovým posypem ovocný kompot káva bílá,47,0,40,30
palačinky s nutelou a smetanovým krémem banánový koktejl,92,0,95,20
těstoviny s makrelou,35,10,0,50
vepřové dušené v kapustě brambory vařené,40,40,0,50
zeleninové lívance brambory šťouchané s jarní cibulkou,15,0,0,55
filety ze žraloka pečené na másle brambory vařené kapie,60,20,0,50
brokolice se smetanovou omáčkou brambory vařené,22,0,0,60
rybí filety na drceném kmíně brambory vařené s petrželkou ledový salát s ředkvičkou,60,20,0,50
rybí nugety z aljašské tresky brambory vařené s petrželkou ledový salát,67,20,0,45
rybí filé zapečené se sýrem brambory vařené,55,20,0,50
kuřecí plátek přírodní gratinované brambory,60,35,0,50
moravský vrabec špenát dušený houskové knedlíky domácí,55,55,0,40
zapečené brambory s uzeným masem brokolicový salát,50,40,0,50
těstoviny s bešamelem rajče,31,0,0,55
hovězí maso na žampiónech rýže dušená,52,45,0,50
kuřecí kousky přírodní rýže dušená se zeleným hráškem,49,30,0,50
spätzle s borůvkovou omáčkou káva bílá,60,0,50,30
králík na zelenině s listovým špenátem bramborové šišky,42,40,0,50
hrachová kaše s cibulkou marinovaný vepřový plátek salát z bílého zelí,35,45,0,40
kuřecí maso kung pao čínské nudle,49,35,0,50
salát s červenou čočkou pečivo,20,0,0,60
palačinky s nutelou a smetanovým krémem ovocný kompot kakao,92,0,95,20
krůtí prsa se zeleninou ratatouille těstoviny bramborové,40,30,0,55
koprová omáčka vejce vařené houskové knedlíky domácí,54,0,0,50
kantonská rýže strouhaná mrkvička,30,0,0,60
vepřová plec na slanině bramborové knedlíky,52,45,0,45
zapečená brokolice s bramborem a vaječnou zálivkou,22,0,0,65
masové kuličky s bylinkami a cibulkou jemná cizrnová omáčka brambory vařené,55,40,0,50
kuskus se zeleninou červená řepa,20,0,0,60
lasagne s vanilkovým krémem a ovocem granko,65,0,85,30
kuřecí plátek s anglickou slaninou a sýrem americké brambory,57,40,0,45
bratislavské vepřové plecko špaldové knedlíky,50,45,0,45
krůtí svíčková na smetaně celozrnné houskové knedlíky,70,40,0,50
dukátové buchtičky s krémem káva mléčná,85,0,75,25
drůbeží rizoto sypané sýrem červená řepa,51,20,0,50
hovězí svíčková na smetaně karlovarský knedlík,68,45,0,50
vinná klobása bramborová kaše kapie,85,40,0,40
italský guláš těstoviny rýžové,51,50,0,45
obalovaná treska se sýrem bramborová kaše listy ledového salátu,60,20,0,45
rybí file zapečené s vejci brambory vařené s petrželkou okurka salátová,48,20,0,50
kuřecí sekaný steak na kari se smetanou a sýrem bramborová kaše,60,35,0,45
grenadýrský pochod ledový salát s ředkvičkou,44,0,0,55
mexické fazole v tortille,20,10,0,55
bavorské vdolečky banánové mléko,87,0,70,30
grenadýrský pochod okurka sterilovaná,44,0,0,55
rybí filety na drceném kmíně gratinované brambory,58,20,0,50
kuřecí stehno uzené bramborová kaše čalamáda,65,40,0,40
rybí filety na drceném kmíně brambory vařené rajče,60,20,0,50
fazole po milánsku s vepřovým masem pečivo,45,40,0,45
čínské nudle se zeleninou,32,0,0,60
nugety z lososa nemleté obalované bramborová kaše ledový salát,65,20,0,45
námořnické maso bramborové knedlíky,52,50,0,40
vepřové maso pečené fazole po boloňsku,40,45,0,45
luciferova brambora čertovo kopyto s chlupy z pekelníka,10,60,0,5
rybí filety na drceném kmíně brambory šťouchané s pažitkou listy ledového salátu,60,30,0,80
fish and chips brambory vařené tatarská omáčka,65,50,0,20
těstoviny s krůtím masem zeleninou a žampiony,50,25,0,60
kantonské nudle s kuřecím masem hlávkový salát,45,35,0,55
těstoviny s bešamelem okurka salátová,31,5,0,45
bretaňská zelenina brambory opečené bylinkový dresink,35,0,0,70
zeleninové lečo s vejci brambory vařené,45,5,0,50
žemličková nádivka s králičím masem bramborové knedlíky špenát dušený,54,50,0,45
přírodní krůtí plátek kuskus,35,40,0,65
hovězí maso na pepři houskové knedlíky domácí,54,50,0,35
masové koule v rajčatové omáčce houskové knedlíky domácí,70,45,0,30
vepřové medailonky na bílém pepři brambory šťouchané s jarní cibulkou,55,60,0,40
kaše z ovesných vloček sypaná skořicí ovocný kompot káva mléčná,46,0,70,50
vepřová plec na slanině bramborové noky,50,70,0,30
vepřové výpečky bramborové knedlíky špenát dušený,54,70,0,30
čočkový karbanátek bramborová kaše čalamáda,45,0,0,50
pikantní kuřecí maso v tortile bylinkový dresink,55,50,0,40
grenadýrský pochod,44,5,0,45
kuřecí paličky pečené v marinádě bbq brambory opečené kapie,63,60,0,35
smetanové brambory zapečené se sýrem kapie,40,5,0,40
žemlovka s jablky a tvarohem horká čokoláda,62,0,85,35
mexické rizoto s vepřovým masem nakládaná cibulka,51,40,0,45
zapečené palačinky s tvarohem ochucené mléko,75,0,75,35
jehněčí maso pečené bramborové noky červené zelí dušené,64,75,0,40
gnocchi v rajčatové omáčce s parmazánem,30,0,0,55
rýžový nákyp s ovocem kakao nesquik,60,0,70,35
vepřová kýta na paprice houskové knedlíky s žemlí,50,70,0,35
rizoto s krabím masem okurka sterilovaná,51,15,0,45
fazole chilli con carne s vepřovým masem pečivo,48,50,0,40
obalovaná treska s bylinkovou omáčkou bramborová kaše rajče,60,40,0,30
hovězí líčka s kořenovou zeleninou brambory šťouchané s jarní cibulkou,50,60,0,35
babičino pečené kuře na tymiánu brambory vařené,57,50,0,45
čočka na přírodní způsob pizza,48,0,0,50
smažené rybí karbanátky bramborová kaše rajče,65,40,0,35
vepřové maso v mrkvi brambory vařené,48,60,0,40
smetanové brambory zapečené se sýrem rajče,40,5,0,45
obalovaná treska se sýrem brambory vařené rajče,55,45,0,35
zapečené těstoviny s uzeninou čerstvá zelenina,52,20,0,45
trhané kachní maso červené zelí se sušenou švestkou bramborové knedlíky,58,80,0,35
těstovinový salát s makrelou pečivo,50,5,0,60
kuřecí špalíček a-lá bažant bramborové knedlíky,55,50,0,45
zeleninové krupoto sypané sýrem,10,0,0,55
čevabčiči s cibulí a hořčicí brambory vařené okurkový salát,69,45,0,30
kuřecí závitek bramborová kaše čalamáda,60,50,0,40
těstoviny se zeleninou žampiony a vepř.masem okurkový salát,51,25,0,50
vepřová kýta po selsku špenát dušený houskové knedlíky s žemlí,50,60,0,35
jáhlová kaše s medem a oříšky ovocný salát horká čokoláda,40,0,50,45
krůtí roláda rýže dušená se zeleným hráškem,54,45,0,50
tarhoňa se žampiony a houbovým prachem okurkový salát,14,0,0,50
mexický guláš houskové knedlíky domácí,50,50,0,35
dukátové buchtičky s krémem,85,0,90,25
rizoto s krabím masem nakládaná cibulka,51,15,0,45
zapečené těstoviny s uzeným masem nakládané feferony,52,30,0,40
kuřecí perkelt těstoviny bramborové,55,50,0,35
pštrosí vejce bramborová kaše,60,55,0,30
těstoviny s bešamelem listy ledového salátu,31,5,0,40
lasagne s brokolicí a sýrem,24,0,0,55
hovězí maso na pepři celozrnné houskové knedlíky,54,50,0,35
čočka na kyselo vaječná omeleta čalamáda,46,0,0,60
vegetariánské špagety po boloňsku,45,0,0,55
novohradský vepřový plátek těstoviny rýžové,50,60,0,30
rybí filé zapečené se sýrem brambory vařené čerstvá zelenina,55,45,0,35
čočkové ragú se špagetami sypané sýrem,32,0,0,60
pečený filet z mořské tresky dušená zelenina romanesco,44,30,0,50
vepřové maso po italsku těstoviny vařené,52,60,0,35
přírodní krůtí plátek brambory vařené dušená bretaňská zelenina,53,40,0,50
halušky se zelím a slaninou okurkový salát,62,60,0,40
gnocchi se smetanovým špenátem,10,0,0,50
zapečený květák s uzeným sýrem brambory šťouchané s jarní cibulkou rajčatový salát,26,20,0,40
maso tří barev kuskus,35,70,0,45
vepřová kýta po selsku houskové knedlíky domácí dušené hlávkové zelí,50,60,0,35
ruská hovězí pečeně špaldové knedlíky,51,50,0,30
kuřecí prsa pečená na medu rýže jasmínová,51,55,15,45
bramborové šišky se strouhankou granko ovocný kompot,55,0,60,20
mořská štika s bazalkou a rajčaty bramborová kaše listy ledového salátu,60,40,0,50
hovězí maso na pepři brambory vařené,52,50,0,35
bratislavské vepřové plecko houskové knedlíky s žemlí,50,60,0,35
gratinované brambory s květákem rajče,43,5,0,45
krůtí prsa na rozmarýnu šťouchané brambory s pažitkou,56,55,0,50
vepřová panenka na slanince rýže dušená,58,70,0,40
mexické rizoto s drůbežím masem červená řepa,51,30,0,40
zapečené špagety s mletým masem,60,60,0,35
mletý řízek s nivou bramborová kaše okurka salátová,66,60,0,30
kuřecí plátek s anglickou slaninou a sýrem brambory vařené strouhaná mrkvička,57,55,0,40
vepřové kostky na kmíně těstoviny vařené,53,50,0,40
hovězí pečeně po pražsku houskové knedlíky domácí,58,50,0,35
žemlovka s jablky a tvarohem mléko,62,0,75,35
rýžová kaše s grankem maštěné máslem ovocný kompot mléko,47,0,60,35
mexické rizoto s vepřovým masem kapie,51,30,0,45
cuketový flamendr kuskus,10,0,0,60
drůbeží játra na cibulce rýže jasmínová,51,45,0,50
zapečené těstoviny s uzeninou červená řepa,52,20,0,45
kuřecí roláda rýže s pohankou,55,50,0,50
zapečené palačinky s tvarohem káva bílá,75,0,75,35
sekaná pečeně na smetaně houskové knedlíky domácí,59,60,0,35
vepřová panenka na slanince brambory vařené,60,70,0,40
debrecínský vepřový guláš celozrnné houskové knedlíky,54,60,0,35
kuřecí nudličky s těstovinou a sýrovou omáčkou,40,50,0,45
segedínský guláš houskové knedlíky domácí,52,60,0,35
jehněčí maso pečené karlovarský knedlík špenát dušený,55,80,0,40
nádivka míchaný zeleninový salát,30,0,0,50
vepřový guláš celozrnné houskové knedlíky,52,60,0,35
halušky z bylinkového těsta šopský salát,45,0,0,55
kuskus s ovocnou omáčkou a strouhaným tvarohem ovocný kompot kakao nesquik,32,0,60,35
škubánky s mákem kakao nesquik,62,0,60,30
kukuřičný klas restovaná zelenina na másle,32,0,0,70
domácí buchty plněné bílá káva,80,0,85,35
rýže basmati s kukuřicí sypané petrželkou strouhaná mrkvička,35,0,0,65
nudle s tvarohem a cukrem maštěné máslem ovocný kompot kakao,60,0,65,35
myslivecké zelí bramborové noky,40,70,0,40
palačinky s marmeládou káva bílá,95,0,70,35
myslivecké zelí bramborové knedlíky,45,70,0,35
vepřové kostky na pepři bramborové knedlíky,51,70,0,35
novohradský vepřový plátek rýže dušená,50,50,0,40
hovězí maso vařené rajská omáčka houskové knedlíky domácí,61,50,0,35
spätzle s hruškama a tvarohem perníkový posyp granko,59,0,60,35
vepřové nudličky na celeru těstoviny vařené,55,50,0,40
marinovaný vepřový plátek hrachová kaše s cibulkou okurka sterilovaná,42,60,0,35
vepřový plátek plněný šunkou a sýrem brambory opečené,55,65,0,40
kuřecí plátek přírodní brambory vařené okurkový salát,60,55,0,50
kuřecí plátek přírodní dušená zelenina,40,55,0,55
rýžové těstoviny s krůtím m. zeleninou a žampiony červená řepa,42,25,0,50
bavorské vdolečky jahodový koktejl,87,0,80,25
kuřecí řízek smažený bramborový salát,89,80,0,25
späctzle se sýrovou omáčkou a bylinkami,30,0,0,55
hrachová kaše s cibulkou plátek šunky od kosti okurka sterilovaná,35,55,0,40
maso tří barev rýže dušená,50,70,0,40
vepřové maso po znojemsku rýže dušená brokolicový salát,46,60,0,40
jitrnicový prejt brambory vařené zelí sladko-kyselé,54,75,0,30
žemlovka s jablky kakao nesquik,62,0,75,35
kachní prso pečené houskové knedlíky domácí červené zelí dušené,67,85,0,40
lasagne s brokolicí a sýrem rajče,24,0,0,55
čočka na přírodní způsob sázená vejce okurka sterilovaná,41,0,0,55
cikánská hovězí pečeně houskové knedlíky domácí,52,60,0,35
lasagne s mletým masem červená řepa,60,60,0,40
hovězí pečeně přírodní těstoviny vařené,50,55,0,40
bulgur s vepřovým masem zeleninou a quinenou červená řepa,32,60,0,45
těstovinový salát se zeleninou a tuňákem,45,5,0,60
trhané kachní maso na šafránových brambůrkách višňová omáčka,55,85,0,45
kuřecí marinovaný plátek hrachová kaše s cibulkou okurka sterilovaná,42,55,0,40
koprová omáčka houskové knedlíky domácí,50,0,0,40
francouzské brambory červená řepa,50,5,0,45
krůtí prsa na rozmarýnu brambory šťouchané s pažitkou,56,55,0,50
zeleninové řízečky brambory šťouchané s jarní cibulkou,40,0,0,50
šoulet s vepřovým plátkem nakládaná cibulka,23,60,0,35
krůtí roláda bramborová kaše nakládaná cibulka,62,55,0,40
čočkový salát s vejci kaiserka,25,0,0,65
kuřecí marinovaný plátek čočka na přírodní způsob ledový salát,38,55,0,45
trhané kachní maso na šafránových brambůrkách,55,85,0,45
krůtí prsa na houbách žampionech rýže jasmínová,55,55,0,50
cikánská hovězí pečeně těstoviny vařené,53,60,0,35
žemlovka s jablky granko,62,0,75,35
hrachová kaše s cibulkou kuřecí stehno pečené zelný salát,37,55,0,45
brokolice zapékaná s nivou brambory vařené s petrželkou kapie,25,0,0,55
sekaná pečeně na smetaně široké nudle,59,60,0,40
těstoviny s bešamelem nakládaná cibulka,31,5,0,45
luštěninové lasagne,45,0,0,55
bramborové taštičky se sýrem obloha zeleninová,49,0,0,50
hrachová kaše s cibulkou vejce sázené zelí sladko-kyselé,35,0,0,50
kuskus se zeleninou a vepřovým masem ledový salát,24,40,0,50
tortellini se sýrovou omáčkou,42,0,0,50
marinovaný vepřový plátek hrachová kaše s cibulkou nakládané kukuřičky,42,60,0,35
rybí filety na drceném kmíně bramborová kaše rajče,63,30,0,40
novohradský vepřový plátek tarhoňa,30,60,0,35
rybí prsty smažené bramborová kaše rajče,70,45,0,35
kuřecí prsa na hříbkové omáčce se spätzlemi,50,55,0,50
krupicová kaše s kakaem ovocný kompot kakao nesquik,45,0,70,35
hrachová kaše s cibulkou kuřecí prsní plátek uzený okurka sterilovaná,35,55,0,40
těstovinový salát s kuřecím masem pečivo,50,30,0,55
rybí file zapečené s vejci brambory vařené s petrželkou kapie,48,45,0,40
vepřové maso pečené bretaňská zelenina na máslíčku brambory vařené,48,60,0,40
pečené kuře brambory vařené,61,60,0,40
čevabčiči s cibulí a hořčicí brambory,68,70,0,35
chlupaté knedlíky se zelím slaninou a cibulkou,55,70,0,35
vepřové výpečky bramborové knedlíky dušené zelí,56,70,0,30
kuřecí paličky pečené v marinádě bbq brambory vařené,63,55,0,35
česneková omáčka uzená krkovice vdolek,45,70,0,30
vepřové maso po znojemsku celozrnné houskové knedlíky,52,60,0,40
lasagne s brokolicí a sýrem ledový salát,24,0,0,55
grilovaný hermelín brambory opečené obloha zeleninová,42,0,0,40
masové koule v rajčatové omáčce těstoviny vařené,70,45,0,40
masové klopsy mexické fazole,48,55,0,35
halušky se zelím a slaninou salátová okurka,61,60,0,40
vepřová panenka na sekané bazalce rýže jasmínová,57,70,0,40
rybí filé zapečené se sýrem brambory vařené s petrželkou čerstvá zelenina,55,45,0,45
vepřová roláda s medvědím česnekem bramborová kaše okurka sterilovaná,58,70,0,35
špekové knedlíky dušené hlávkové zelí,50,70,0,35
mletý řízek s nivou brambory opečené listy ledového salátu,63,60,0,35
jáhlová kaše s medem a oříšky ovocný salát granko,40,0,50,45
krůtí maso pečené dušená baby mrkvička brambory vařené,40,55,0,50
kynuté mřížky s pudinkem a jahodou granko,75,0,80,25
nudle s mákem maštěné máslíčkem kakao jablko,60,0,60,35
bramborové šišky se strouhankou mléko,55,0,60,30
čočkový salát chléb,20,0,0,60
brambor. špalíčky se zelím a trhaném kachním masem,57,70,0,35
luštěninové rizoto s kroupami a vepřovým masem okurka kyselá,38,60,0,40
kuřecí kousky na zbojnický způsob bramborové noky,51,55,0,45
vrtule s mákem ovocný kompot ochucené mléko,60,0,60,35
hovězí maso v kapustě brambory vařené,44,60,0,45
lasagne s mletým masem kapie,60,60,0,40
mletý řízek s nivou bramborová kaše červená řepa,65,60,0,40
lipnický špaček bramborová kaše paprika čerstvá,68,55,0,40
vepřové nudličky po čínsku se zeleninou rýže dušená,45,60,0,45
lívance se skořicí kakao,73,0,60,30
halušky se zelím a slaninou mrkvový salát,62,70,0,40
sekaná pečeně bramborová kaše,72,60,0,35
lasagne s rybím masem a špenátem,23,30,0,50
tarhoňa s houbovým prachem a žampiony nakládané feferony,13,0,0,80
brambory s tvarohem maštěné máslíčkem ovocný kompot,55,0,15,70
späctzle se sýrovou omáčkou a bylinkami rajčatový salát,30,0,5,65
bavorské vdolečky mléko,87,0,75,35
roštěná z telecí kýty rýže dušená,53,40,0,50
masová haše brambory vařené zelný salát,49,55,0,45
bramborové šišky se strouhankou káva bílá,55,0,5,35
zapečená brokolice s bramborem a vaječnou zálivkou rajče,22,0,0,80
hrachová kaše s cibulkou kuřecí marinovaný plátek okurka sterilovaná,35,30,0,50
spätzle s borůvkovou omáčkou granko,60,0,85,25
sekaná pečeně brambory šťouchané s jarní cibulkou listy ledového salátu,62,60,0,45
džuveč červená řepa,40,0,0,70
kuřecí maso po čínsku tříbarevná rýže,50,35,0,60
hovězí kostky na divoko bramborové knedlíky,51,50,0,50
drůbeží játra na cibulce rýže dušená se zeleným hráškem,50,45,0,55
zapečené brambory se smetanou a vepřovou kotletou nakládaná cibulka,53,50,0,40
šišky z kynutého těsta ochucené mléko,73,0,60,35
sekaná pečeně brambory šťouchané s jarní cibulkou okurka sterilovaná,62,60,0,45
špagety po milánsku,58,35,0,50
poděbradské maso houskové knedlíky domácí,55,45,0,50
nudlový nákyp s tvarohem a jablky horká čokoláda ovocný kompot,59,0,30,50
bulgur rizoto se zeleninou a sýrem listy římského salátu,30,0,0,75
andělské gnocchi s mikulášskou mlhovinou,30,0,0,65
grenadýrský pochod nakládaná cibulka,44,0,0,65
hovězí pečeně přírodní bulgur perníčky,43,50,0,55
vepřová panenka s fazolovými lusky brambory vařené červená řepa,55,50,0,60
krůtí paprikáš houskové knedlíky domácí,55,50,0,55
zapečené těstoviny s uzeným masem čalamáda,52,35,0,50
gnocchi s grilovanou zeleninou a parmazánem okurkový salát,28,0,0,70
bramborový nákyp s mletým masem rajčatový salát,60,40,0,45
ruská hovězí pečeně houskové knedlíky s žemlí,51,45,0,55
koprová omáčka vejce vařené houskové knedlíky s žemlí,54,0,0,45
houskové knedlíky polévané jahodovou omáčkou,60,0,60,40
hovězí maso vařené rajská omáčka těstoviny vařené,62,45,0,50
vepřová kýta na paprice těstoviny vařené míchaný zeleninový salát,52,45,0,50
kuřecí špalíček a-lá bažant bramborové noky,53,40,0,55
krůtí prsa na žampionech brambory vařené,55,45,0,60
hovězí dušené kostky na zelenině houskové knedlíky domácí,48,45,0,50
kuřecí stehno uzené s grilovanou kukuřicí,57,45,0,55
obalovaný sýr brambory vařené s petrželkou tatarská omáčka,65,0,0,35
krůtí nudličky na kari rýže jasmínová,50,50,0,50
nudle s tvarohem a cukrem maštěné máslem ovocný kompot,60,0,25,40
bavorské vdolečky káva mléčná,87,0,70,30
cibulové kroužky s pikantní rajčatovou omáčou čerstvá zelenina,52,0,0,40
čočka na přírodní způsob uzená kýta zelný salát s mrkví,40,45,0,55
rýžová kaše s grankem maštěné máslem ovocný kompot kakao,47,0,50,35
hovězí pečeně znojemská houskové knedlíky s žemlí,56,45,0,55
krůtí kostky po debrecínsku houskové knedlíky domácí,51,50,0,50
bramborové šišky se strouhankou ovocný kompot kakao nesquik,55,0,30,40
rybí file na křenu se smetanou brambory vařené okurka kyselá,57,0,0,45
kuřecí roláda rýže dušená,55,50,0,55
mix trhaných salátů s rajčaty karotkou a kuř.masem celozrnná bageta,40,40,0,85
houbový kuba nakládané feferony,50,0,0,70
trhané kachní maso dušené hlávkové zelí houskové knedlíky s žemlí,57,65,0,40
moravský vrabec bramborové knedlíky červené zelí dušené,58,70,0,45
kuřecí nudličky na kari rýže dušená,50,50,0,50
krůtí maso po zahradnicku bulgur,39,45,0,65
grenadýrský pochod nakládané feferony,44,0,0,65
krůtí kousky na zbojnický způsob bramborové noky,51,50,0,55
zapečené těstoviny s uzeným masem červená řepa,52,40,0,45
těstovinový salát s kuřecím masem,48,50,0,70
nudle s tvarohem a cukrem maštěné máslem kakao,60,0,25,40
kantonské nudle s kuřecím masem okurkový salát,45,50,0,55
