lunch_name,taste,meatiness,sweetness,healthiness
kuřecí nudličky po zahradnicku těstoviny vařené,50,50,0,50
kuřecí kousky na zbojnický způsob bramborové knedlíky,53,50,0,50
maďarský tokáň těstoviny rýžové,50,45,0,50
špagety s vepřovým masem a rajčaty,60,45,0,50
zapečený květák s uzeným sýrem brambory vařené kapie,25,0,0,60
hovězí maso po cikánsku celozrnné houskové knedlíky,52,50,0,55
brokolice zapékaná s lučinou kaiserka,22,0,0,70
zapečené brambory s uzeným masem červená řepa,51,50,0,45
kuřecí paličky pečené brambory vařené obloha zeleninová,55,55,0,50
špaldové noky se zelím slaninou a cibulkou,45,40,0,50
vepřové medailonky na bílém pepři rýže jasmínová,55,50,0,55
džuveč okurka sterilovaná,40,0,0,60
alpský povidlový knedlík kakao nesquik,70,0,70,40
fazolový kotlík chléb,33,0,0,50
zapečené těstoviny s uzeninou kapie,52,35,0,45
bramborový nákyp s mletým masem čerstvá zelenina,60,40,0,45
zapečené rýžové špagety s mletým masem nakládané feferony,58,40,0,45
rýžová kaše s grankem maštěné máslem ovocný kompot kakao nesquik,47,0,50,35
vepřová panenka se šípkovou omáčkou brambory vařené,55,50,0,50
krůtí prsa na houbách bulgur,38,50,0,60
kuřecí stehna na kysaném zelí bramborové noky,59,50,0,50
kuřecí roláda bramborové knedlíky,56,50,0,50
holandský řízek bramborová kaše rajče,85,55,0,40
bulgur rizoto se zeleninou a kuřecím masem rajčatový salát,36,50,0,70
džuveč nakládané kukuřičky,40,0,0,50
hrachová kaše s cibulkou kuřecí marinovaný plátek salát z bílého zelí,35,45,0,55
gnocchi se slaninou zakys.smetanou jarní cibulkou mrkvový salát,21,20,0,50
husí maso barbarie pečené houskové knedlíky domácí červené zelí dušené,67,80,0,35
vepřové nudličky po čínsku se zeleninou čínské nudle,44,50,0,50
čočka po bretaňsku chléb,20,0,0,50
kuřecí roláda plněná špenátem anglickou slaninou bramborová kaše strouhaná mrkvička,60,55,0,45
halušky z bylinkového těsta rajče,51,0,0,55
žemlovka s jablky káva mléčná,62,0,50,45
kuřecí maso po čínsku rýže dušená,50,50,0,50
vepřový plátek po znojemsku rýže dušená,54,50,0,50
palačinky s marmeládou ovocný kompot kakao,95,0,95,30
fazole po milánsku s vepřovým masem chléb,45,45,0,45
gratinované brambory s lanýžem řepný salát s křenem,37,0,0,55
bramborové knedlíky s cibulkou zelný salát,43,0,0,45
kaše z ovesných vloček sypaná skořicí ovocný kompot mléko,46,0,45,50
hamburger s trhaným masem hranolky s tatarskou om,90,50,0,25
škubánky s mákem ovocný kompot káva mléčná,62,0,50,40
vepřové plecko na zelenině rýže jasmínová,43,50,0,50
alpský povidlový knedlík kakao,70,0,70,40
vepřový plátek po znojemsku rýže jasmínová,54,50,0,50
bramborové šišky se strouhankou mrkvový salát mléčný nápoj,55,0,0,40
vepřové maso pečené dušená zelenina brambory vařené,48,50,0,55
vepřová plec na kmíně bulgur,39,50,0,55
sekaný biftek bramborová kaše červená řepa,70,55,0,45
halušky se zelím a slaninou,61,50,0,45
vepřový plátek přírodní bulgur,35,50,0,55
rizoto z vepřového masa sypané sýrem zelenina sterilovaná,51,45,0,50
bulgur se zeleninou a sýrem červená řepa,30,0,0,70
čočka na kyselo vaječná omeleta nakládaná cibulka,46,0,0,55
kantonské nudle s kuřecím masem okurka sterilovaná,45,50,0,50
mexické rizoto s vepřovým masem červená řepa,51,45,0,45
květákový mozeček brambory šťouchané s pažitkou,35,0,0,50
bramborový guláš chléb,54,45,0,40
hovězí plátek bratislavský houskové knedlíky s žemlí,53,50,0,50
bramborové knedlíky s cibulkou okurka sterilovaná zelný salát,43,0,0,45
italský guláš těstoviny vařené,52,45,0,50
špenátové noky z bramborového těsta a cibulkou,10,0,0,65
rizoto z drůbežího masa sypané sýrem nakládaný květák,51,40,0,55
domácí buchty plněné granko,80,0,85,30
vepřový plátek přírodní brambory šťouchané s jarní cibulkou,55,55,0,45
pečené fazole s toastovým chlebem,40,0,0,40
hovězí pečeně štěpánská bramborová kaše,61,50,0,50
krůtí maso s křenovou omáčkou vdolek,45,50,0,55
vepřové kostky na fazolkách brambory vařené,48,55,0,45
grilovaný hermelín brambory vařené s petrželkou tatarská omáčka,54,0,0,40
rizoto z drůbežího masa sypané sýrem ledový salát s ředkvičkou,51,40,0,55
roštěná hovězí pečeně rýže jasmínová,53,50,0,50
grilovaný kuskus s vepřovou panenkou a rajčaty listy římského salátu,47,50,0,55
novohradský vepřový plátek těstoviny vařené,53,50,0,50
kuřecí plátek přírodní rýže dušená se zeleným hráškem,50,50,0,50
vepřové maso pečené baby mrkev brambory vařené,48,50,0,55
krupicová kaše s kakaem ovocný kompot mléko,45,0,55,35
nudle s mákem maštěné máslíčkem mléko,60,0,30,40
krůtí maso po zahradnicku těstoviny rýžové,50,45,0,55
křupavá husička s bílým i červeným zelím houskové a bramborové knedlíky,70,80,0,30
čočka na přírodní způsob plátek šunky od kosti nakládané kukuřičky,40,0,0,50
vepřová plec na slanině těstoviny vařené,53,50,0,50
rybí file zapečené s vejci brambory vařené s petrželkou rajče,48,0,0,45
vepřová panenka na sekané bazalce brambory vařené,60,50,0,50
ravioli s tvarohovou náplní sypané strouhankou ovocný kompot kakao,58,0,45,40
singapurské rýžové nudle,45,50,0,60
moravský vrabec chlupaté knedlíky dušené zelí,55,70,0,40
hovězí maso na španělský způsob houskové knedlíky domácí,60,55,0,50
cikánská hovězí pečeně houskové knedlíky s žemlí,52,55,0,50
špenátové špagety,22,0,0,65
rybí file na křenu se smetanou bramborová kaše strouhaná mrkvička,61,0,0,45
krůtí maso na medu a zázvoru s jasmínovou rýží,50,50,10,50
játrová omáčka rýže dušená,20,50,0,45
hovězí dušené kostky na zelenině brambory vařené,49,50,0,50
bramborové knedlíky s cibulkou okurka kyselá,43,0,0,45
kantonské nudle s vepřového masa,45,50,0,50
čočka na kyselo vaječná omeleta okurka sterilovaná,46,0,0,50
obalovaný filet z aljašké tresky brambory vařené s petrželkou kapie,59,0,0,35
vepřové maso po znojemsku houskové knedlíky domácí,52,55,0,50
bramborové knedlíky s cibulkou okurka sterilovaná,43,0,0,45
vepřová plec na kmíně kuskus,39,50,0,50
bramborové noky se zelím a cibulkou,42,0,0,50
špagety rýžové s tuňákem,59,0,0,55
brokolice se sýrovou omáčkou brambory opečené,22,0,0,60
zeleninové rizoto s hlívou ústřičnou a sýrem kapie,22,0,0,65
rybí prsty smažené brambory šťouchané s jarní cibulkou rajče,69,0,0,35
lasagne s rybím masem bešamelem a špenátem okurka salátová,23,0,0,50
rizoto z vepřového masa sypané sýrem čalamáda,51,45,0,50
makové šišky sypané strouhaným tvarohem ovocný kompot,60,0,50,40
debrecínský vepřový guláš tarhoňa,35,45,0,50
rizoto na srbský způsob s kachním masem čalamáda,51,50,0,50
kantonské nudle s kuřecím masem mrkvový salát,45,50,0,55
jáhlová kaše s medem a oříšky ovocný kompot káva bílá,40,0,35,50
zapečené těstoviny s uzeninou,52,40,0,45
lasagne s brokolicí a sýrem čerstvá zelenina,24,0,0,65
hrachová kaše s cibulkou vejce vařené okurka sterilovaná,35,0,0,50
obalované filety z hejka bramborová kaše rajče,65,0,0,40
kuskus po milánsku s vepřovým masem nakládaná cibulka,30,45,0,50
dukátové buchtičky s krémem kakao,85,0,85,30
nudlový nákyp s tvarohem a jablky ovocný kompot kakao,58,0,30,40
pikantní kuřecí maso v tortile,55,50,0,45
srbské rizoto okurkový salát,53,45,0,50
vepřový řízek smažený brambory vařené s petrželkou,82,70,0,40
maso tří barev bramborové noky,49,50,0,50
panenka na hříbkové omáčce s bramborovými noky,55,50,0,45
smetanové brambory zapečené se sýrem zelenina sterilovaná,40,0,0,50
vepřové maso pečené brambory vařené dušená bretaňská zelenina,53,50,0,50
halušky z bylinkového těsta s brynzou listy ledového salátu,39,0,0,60
kuřecí marinovaný plátek hrachová kaše s cibulkou kapie,42,50,0,50
znojemská hovězí pečeně houskové knedlíky s žemlí,54,55,0,50
mexické fazole pečivo,30,0,0,45
smažené rybí karbanátky brambory šťouchané s jarní cibulkou,61,0,0,40
francouzské brambory ledový salát s ředkvičkou,50,0,0,45
kuřecí plátek s anglickou slaninou a sýrem brambory vařené listy ledového salátu,57,50,0,45
lívance se skořicí granko,73,0,55,35
kuřecí kostky na pórku rýže jasmínová,50,50,0,50
maso tří barev rýže jasmínová,50,50,0,50
debrecínský hovězí guláš celozrnné houskové knedlíky,54,55,0,50
maso tří barev brambory vařené,50,50,0,50
vepřové maso po italsku špecle,49,45,0,50
hovězí pečeně přírodní kukuřice na másle brambory vařené,51,50,0,55
vepřové kostky na fazolkách těstoviny vařené,45,50,0,50
mletý řízek s nivou bramborová kaše ledový salát s ředkvičkou,65,50,0,45
hovězí maso na způsob španělského ptáčka rýže dušená,56,50,0,50
kachní prso pečené červené zelí dušené houskové knedlíky domácí,67,60,0,20
treska zapečená s jogurtem sýrem a bylinkami brambory šťouchané s pažitkou,35,30,0,50
vepřová kýta na smetaně houskové knedlíky domácí,50,40,0,25
hovězí maso na španělský způsob rýže jasmínová,56,30,0,35
kuskus se zeleninou a vepřovým masem strouhaná mrkvička,24,25,0,40
rybí file na másle s citronem brambory vařené kapie,61,30,0,45
pštrosí vejce bramborová kaše červená řepa,60,10,0,30
bavorské vdolečky granko,87,0,70,5
rybí nugety z aljašské tresky brambory vařené s petrželkou obloha zeleninová,67,30,0,50
kuře na nivě rýže jasmínová,55,40,0,40
jáhlová kaše s medem a oříšky káva mléčná,40,0,40,10
zapečené palačinky s tvarohem ovocný kompot banánové mléko,75,0,55,15
sekaná pečeně bramborová kaše rajčatový salát,72,30,0,35
vepřové maso v mrkvi těstoviny vařené,49,20,0,30
pečené kuře bulgur,47,40,0,50
obalovaná treska s bylinkovou omáčkou bramborová kaše listy ledového salátu,60,30,0,45
pizza rajčatový salát,90,20,0,25
kuřecí stehno pečené brambory vařené nádivka,61,50,0,35
karbanátek smažený bramborová kaše okurkový salát,70,50,0,25
těstovinový salát s lososem kaiserka,53,20,0,50
spätzle s hruškama a tvarohem perníkový posyp kakao,59,0,50,20
rýžový nákyp s ovocem ochucené mléko,60,0,60,15
zeleninové krupoto s vepřovým masem sypané sýrem čalamáda,13,20,0,35
těstovinový salát s makrelou,44,20,0,55
špecle s mákem maštěné máslíčkem horká čokoláda,59,0,60,10
hovězí líčka s kořenovou zeleninou bramborová kaše,55,50,0,35
tarhoňové rizoto s tofu nakládaná cibulka,0,0,0,50
těstoviny s tvarohem maštěné máslem ovocný kompot kakao,60,0,55,20
hovězí kostky na divoko houskové knedlíky domácí,51,45,0,30
pikantní kuřecí maso v tortile listy ledového salátu,55,40,0,25
rybí file na másle s citronem brambory vařené s petrželkou nakládané feferony,61,30,0,45
kovbojské fazole s klobáskou chléb,55,30,0,25
čočkový salát s vejci pečivo,23,10,0,65
krůtí kostky v paprikové omáčce těstoviny,52,30,0,45
lasagne s rybím masem bešamelem a špenátem kapie,23,25,0,50
vepřová roláda s medvědím česnekem rýže jasmínová,53,40,0,40
poděbradské maso bulgur,39,30,0,45
kovbojské fazole s vepřovým masem brambory vařené,43,35,0,45
rýžový nákyp s ovocem granko,60,0,55,15
rýžovo-jogurtové knedlíky s ovocem a zak.smetanou kakao,69,0,65,10
hovězí maso stroganov houskové knedlíky domácí,54,45,0,35
salát s červenou čočkou sýrová bageta s rajčaty,24,0,0,60
sekaný biftek bramborová kaše mrkvový salát,71,50,0,25
vepřové maso po cikánsku houskové knedlíky domácí,52,40,0,30
kaše z ovesných vloček sypaná skořicí ovocný kompot kakao nesquik,46,0,50,25
lipnický špaček brambory gratinované nakládaná cibulka,57,30,0,30
jitrnicový prejt brambory vařené zelný salát,54,40,0,20
vepřový špalíček a-la bažant bramborové knedlíky,55,50,0,25
lososové nugetky bramborová kaše nakládané feferony,65,20,0,50
bramborové šišky se strouhankou ovocný kompot mléko,55,0,0,25
špecle s vepřovým masem a rajčaty,50,30,0,35
rizoto z drůbežího masa sypané sýrem zelenina sterilovaná,51,25,0,30
vepřová panenka pečená bramborová kaše okurkový salát,65,50,0,30
nudle s tvarohem a cukrem maštěné máslem jahodový koktejl,60,0,50,20
rizoto z vepřového masa sypané sýrem nakládané kukuřičky,51,25,0,30
hovězí pečeně štěpánská houskové knedlíky domácí,56,45,0,30
luštěninové lasagne listy ledového salátu,45,0,0,55
bramborový nákyp s mletým masem červená řepa,60,35,0,30
těstoviny se zeleninou žampiony a vepř.masem rajčatový salát,51,25,0,40
mexické rizoto s drůbežím masem nakládaná cibulka,51,25,0,35
lívance se skořicí káva mléčná,73,0,40,15
rýžové špagety s tofu a zeleninou,5,0,0,55
sekaná pečeně bramborová kaše ledový salát s ředkvičkou,72,50,0,25
kuřecí plátek s anglickou slaninou a sýrem brambory vařené,57,50,0,35
džuveč pečivo,42,15,0,30
kaše z ovesných vloček sypaná skořicí ovocný kompot káva bílá,46,0,50,20
francouzské brambory okurka sterilovaná,50,25,0,40
kuřecí řízek smažený bramborová kaše,89,80,0,25
špenátové těstoviny s bešamelem šopský salát,13,0,0,50
bulgur se zeleninou sypané sýrem červená řepa,30,10,0,50
ovocné knedlíky sypané tvarohem maštěné máslem kakao nesquik,80,0,65,15
vepřové maso po cikánsku bulgur,38,35,0,45
rybí file zapečené s vejci brambory šťouchané s jarní cibulkou mrkvový salát,48,30,0,50
plovdivské maso bulgur,40,30,0,45
krůtí kostky na tymiánu rýže dušená,50,30,0,40
krůtí kostky v paprikové omáčce rýže dušená,50,30,0,40
rybí file zapečené s vejci brambory vařené s petrželkou strouhaná mrkvička,48,30,0,50
křenová omáčka hovězí maso vařené celozrnné houskové knedlíky,30,50,0,30
pštrosí vejce šťouchané brambory s jarní cibulkou salátová okurka,56,10,0,35
tofu na čínský způsob kuskus,0,0,0,55
hovězí líčka s kořenovou zeleninou těstoviny vařené,50,50,0,30
cizrnová kaše s jemným párkem a cibulovými kroužky ledový salát s ředkvičkou,45,10,0,20
těstoviny s brokolicí a nivou,21,0,0,50
rybí prsty smažené brambory vařené s petrželkou kapie,69,30,0,45
hovězí maso na žampiónech rýže jasmínová,52,50,0,35
karbanátek smažený bramborová kaše rajče,70,50,0,25
krůtí perkelt těstoviny rýžové,54,30,0,35
tarhoňa s houbovým prachem,12,0,0,30
krůtí prsa na rozmarýnu rýže dušená,55,40,0,40
šoulet vepřový plátek přírodní okurka sterilovaná,23,35,0,30
celer zapékaný se sýrem brambory opečené,28,0,0,45
vepřové nudličky s mandlemi a jasmínovou rýží,51,40,0,35
nugátové knedlíky,70,0,70,10
bulgur s vepřovým masem zeleninou a quinenou,32,25,0,50
brokolice zapékaná s lučinou brambory opečené čalamáda,25,0,0,55
kuskus kukuřičný s grilovanou zeleninou okurka salátová,20,0,0,55
bavorské vdolečky mléčný nápoj,87,0,50,10
květákové placičky brambory vařené s petrželkou tatarská omáčka,55,10,0,35
kapustové karbanátky bramborová kaše,45,15,0,40
vepřová plec na slanině rýže dušená,51,40,0,30
bavorské vdolečky káva bílá,87,0,70,10
rýžové knedlíky se švestkou sypané mákem kakao,60,0,65,10
babičino pečené kuře na tymiánu bramborové knedlíky,58,50,0,30
obalovaný květák smažený brambory vařené s petrželkou,58,0,0,30
spätzle s hruškama a tvarohem perníkový posyp horká čokoláda,59,0,50,15
sekaný biftek bramborová kaše listy ledového salátu,71,50,0,25
krůtí prsa se zeleninou ratatouille pyré z brambor a celeru,35,30,0,50
houskové knedlíky polévané jahodovou omáčkou ochucené mléko,60,0,75,10
škubánky s mákem mléko,62,0,65,10
vepřová panenka s fazolovými lusky brambory vařené,55,40,0,40
králičí stehno v hořčičné omáčce brambory šťouchané s jarní cibulkou,56,40,0,40
rybí filé zapečené se sýrem brambory vařené s petrželkou kapie,55,30,0,50
rizoto z vepřového masa sypané sýrem červená řepa,51,25,0,30
vepřová plec na slanině rýže jasmínová,51,40,0,30
pizza,90,25,0,25
kuřecí prsa na medu rýže jasmínová,51,40,0,30
hovězí maso vařené koprová omáčka celozrnné houskové knedlíky,60,50,0,30
luhačovický špaček bramborová kaše červená řepa,69,50,0,25
spätzle s hruškama a tvarohem perníkový posyp mléko,59,0,50,15
těstovinový salát se zeleninou a tuňákem pečivo,50,20,0,50
vepřové nudličky s mandlemi čínské nudle,49,40,0,30
krůtí kostky v paprikové omáčce těstoviny vařené,52,30,0,40
šopský salát pečivo,24,0,0,60
krupicová kaše s kakaem ovocný kompot ochucené mléko,45,0,60,10
dukátové buchtičky s krémem mléko ovocný kompot,85,0,70,10
kuřecí kousky přírodní rýže dušená,50,40,0,45
vepřová panenka pečená šťouchané brambory s pažitkou,60,50,0,35
rýžovo-jogurtové knedlíky s ovocem a zak.smetanou káva mléčná,69,0,65,10
šoulet s vepřovým plátkem obloha zeleninová,22,35,0,35
čočka na kyselo kuřecí marinovaný plátek okurka sterilovaná,37,10,0,50
bulgur se zeleninou sypané sýrem nakládaná cibulka,30,10,0,50
grenadýrský pochod kapie,44,20,0,30
cmunda po kaplicku,53,40,0,20
zeleninový salát s tuňákem a kuskusem pečivo,25,0,0,55
lečo s vejcem pečivo,45,0,0,45
rybí file na másle s citronem bramborová kaše,64,30,0,45
sekaná pečeně bramborová kaše okurka sterilovaná,72,50,0,25
přírodní karbanátek smažený s cibulkou hořčice chléb,60,50,0,20
trhané kuřecí maso americké brambory,54,40,0,30
hovězí maso na způsob španělského ptáčka houskové knedlíky s žemlí,60,30,0,35
lasagne s rybím masem bešamelem a špenátem listy ledového salátu,23,25,0,50
hamburská vepřová kýta celozrnné houskové knedlíky,56,35,0,35
kuřecí nudličky grilované s americkým bramborem listy římského salátu,58,30,0,40
hovězí maso na pepři bramborové noky,51,50,0,25
kantonské nudle s kuřecím masem čerstvá zelenina,44,30,0,50
vinná klobása bramborová kaše,85,40,0,20
alpský povidlový knedlík káva mléčná,70,0,65,10
těstoviny s tuňákem,40,20,0,50
holandský řízek bramborová kaše okurka sterilovaná,85,50,0,25
hovězí svíčková na smetaně houskové knedlíky s žemlí,70,50,0,25
hovězí gulaš těstoviny vařené,55,50,0,35
hrachová kaše s cibulkou marinovaný vepřový plátek,35,30,0,45
spätzle s hruškama a tvarohem perníkový posyp kakao nesquik,59,0,50,15
trhané vepřové maso brambory vařené tatarská omáčka,60,40,0,30
zapečená brokolice s bramborem a vaječnou zálivkou červená řepa,22,0,0,50
vepřová panenka s fazolovými lusky brambory opečené listy ledového salátu,55,50,0,35
krupicová kaše s kakaem ovocný kompot káva mléčná,45,0,60,10
rybí file zapečené s vejci brambory vařené kapie,48,30,0,45
hrachová kaše s cibulkou vejce vařené salát z bílého zelí,35,10,0,50
husí stehna pečená zelí dušené houskové knedlíky domácí,62,60,0,20
kuřecí řízek smažený bramborová kaše okurka sterilovaná,89,80,0,25
zapečené těstoviny s uzeným masem okurkový salát,53,40,0,30
kuřecí plátek přírodní rýže jasmínová,55,40,0,45
hrachová kaše s cibulkou kuřecí marinovaný plátek nakládané feferony,35,10,0,50
kantonské nudle s kuřecím masem ledový salát s ředkvičkou,45,30,0,50
kuřecí prsa na paprice těstoviny rýžové,59,40,0,35
ovocné knedlíky sypané tvarohem maštěné máslem,80,0,65,15
krůtí maso na slanině rýže dušená,51,40,0,40
vepřové kostky na fazolkách rýže dušená,44,40,0,35
rybí file na křenu se smetanou brambory vařené listy ledového salátu,57,30,0,50
sekané vepřové karbošky se zeleninou bramborová kaše kapie,65,50,0,25
luhačovický špaček bramborová kaše rajče,69,50,0,25
bretaňská zelenina na máslíčku americké brambory bylinkový dresink,35,0,0,55
kuřecí maso kung pao rýže jasmínová,50,40,0,40
vepřenky s cibulí a hořčicí brambory vařené,63,50,0,25
smetanové brambory zapečené se sýrem červená řepa,40,0,0,50
bulgur se zeleninou sypané sýrem okurka sterilovaná,30,10,0,50
šišky z kynutého těsta kakao,73,0,60,10
zapečené těstoviny s brokolicí a žampiony okurka salátová,30,0,0,50
palačinky s marmeládou kakao nesquik,95,0,80,10
rizoto z vepřového masa sypané sýrem okurkový salát,51,25,0,30
fazole chilli con carne chléb,45,40,0,35
žemlovka s jablky a tvarohem káva bílá,62,0,55,15
kuskus s ovocnou omáčkou a strouhaným tvarohem kakao nesquik,31,0,65,10
lasagne s mletým masem listy ledového salátu,60,50,0,30
pečené vepřové koleno dušené zelí bramborové knedlíky,55,60,0,20
rybí file na másle s citronem brambory šťouchané s pažitkou kapie,61,30,0,50
hovězí pečeně se svíčkovou omáčkou a brusinkami houskové knedlíky s žemlí,71,50,0,25
bramborový guláš pečivo,54,20,0,30
smažený květák brambory vařené s petrželkou tatarská omáčka,58,0,0,30
hovězí pečeně znojemská rýže dušená,54,50,0,30
šoulet s vepřovým plátkem zelný salát,25,35,0,30
krůtí paprikáš těstoviny rýžové,54,30,0,35
rybí prsty smažené bramborová kaše kapie,70,30,0,45
kuřecí závitek brambory šťouchané s pažitkou rajče,55,40,0,35
hovězí pečeně přírodní celozrnné houskové knedlíky,52,50,0,35
kuřecí nudličky na kari rýže jasmínová,50,40,0,45
lečo s vejci a uzeninou brambory vařené,55,30,0,35
bratislavské vepřové plecko houskové knedlíky domácí,50,50,0,30
tarhoňa se žampiony a houbovým prachem,13,0,0,40
domácí buchty plněné ovocný salát mléko,80,0,70,10
katův šleh rýže jasmínová,51,40,0,30
chilli con carne s mletým hovězím masem a fazolemi chléb,48,40,0,35
obalovaný losos s medem a hořčicí brambory vařené s petrželkou kapie,58,25,0,45
italský guláš bulgur,35,40,0,40
králičí stehno v hořčičné omáčce rýže dušená,55,40,0,40
lasagne s vanilkovým krémem a ovocem mléko,65,5,90,10
hrachová kaše s cibulkou pečené vepřové koleno,35,60,0,25
hovězí maso na pepři rýže dušená,51,65,0,30
zapečená brokolice s bramborem a vaječnou zálivkou nakládané feferony,22,10,0,65
tofu na čínský způsob rýže jasmínová,5,0,0,70
vepřová plec na slanině celozrnné houskové knedlíky,53,50,0,30
ovocné knedlíky sypané tvarohem maštěné máslem kakao,80,10,70,15
jáhlová kaše s medem a oříšky ovocný kompot horká čokoláda,40,0,50,35
holandský řízek bramborová kaše čerstvá zelenina,85,45,0,25
kuřecí kousky v mrkvi brambory vařené,48,30,0,40
domácí buchty plněné ochucené mléko,80,0,85,10
hovězí pečeně na slanině bramborové knedlíky,54,60,0,30
rýžová kaše s grankem maštěné máslem ovocný salát horká čokoláda,47,0,55,15
kuřecí kousky obalené v sezamu bramborová kaše,70,35,0,40
květákový mozeček brambory vařené s petrželkou okurkový salát,35,5,0,55
ovocné knedlíky sypané tvarohem maštěné máslem granko,80,10,70,15
kuře na nivě brambory opečené,55,35,0,30
kuskus po milánsku s vepřovým masem červená řepa,30,25,0,40
zeleninový salát s krabím masem toustový chléb,30,10,0,50
sojové maso na indický způsob tortilla,45,0,0,55
krůtí paprikáš těstoviny vařené,55,45,0,30
mexický guláš houskové knedlíky s žemlí,50,55,0,25
bulgur s vepřovým masem a zeleninou červená řepa,32,35,0,45
šišky z kynutého těsta granko,73,0,65,20
kotlíkový perkelt těstoviny vařené,52,60,0,20
vepřové kostky na kmíně rýže dušená s pečenou těstovinou,50,50,0,25
rybí file na másle s citronem brambory vařené obloha,61,0,0,45
kuřecí stehna na kysaném zelí bramborové knedlíky,62,50,0,35
halušky z bylinkového těsta,51,0,0,50
bulgur rizoto se zeleninou a kuřecím masem červená řepa,35,25,0,50
kuřecí prso na špejli zeleninové hranolky tatarská omáčka,55,30,0,25
kaše z ovesných vloček sypaná skořicí ovocný kompot granko,46,0,30,40
kuřeci prsa na česneku bramborové noky s čočkou,45,40,0,35
znojemská hovězí pečeně rýže dušená,52,60,0,30
zapečené rýžové špagety s mletým masem listy ledového salátu,58,40,0,25
zeleninový salát s krabím masem pečivo,29,10,0,45
kuřecí kousky se špenátem a těstovinou,40,30,0,40
těstovinový salát s makrelou chléb,48,5,0,50
nudle s mákem maštěné máslíčkem ovocný kompot kakao nesquik,60,0,55,25
zeleninové rizoto se sýrem okurka sterilovaná,40,0,0,50
vepřová panenka na slanince bramborové noky,58,55,0,30
chřest s holandskou omáčkou brambory vařené,25,0,0,60
sekaná pečeně štěpánská šťouchané brambory s jarní cibulkou okurka sterilovaná,64,45,0,35
mořská štika s bazalkou a rajčaty bramborová kaše červená řepa,60,0,0,45
zapečené těstoviny s uzeninou strouhaná mrkvička,52,30,0,30
rybí prsty smažené bramborová kaše šopský salát,70,0,0,30
špecle s mákem maštěné máslíčkem ovocný kompot ochucené mléko,59,0,55,20
francouzské brambory nakládané kukuřičky,50,10,0,50
trhané vepřové maso pečené brambory vařené dušená baby mrkvička,55,55,0,30
čočkové ragú se špagetami sypané sýrem nakládané kukuřičky,32,0,0,50
kuřecí závitek bramborová kaše okurka sterilovaná,60,40,0,35
bramborové šišky se strouhankou ovocný kompot,55,0,30,40
maso tří barev čínské nudle,47,45,0,25
ravioli s tvarohovou náplní sypané strouhankou ovocný kompot káva mléčná,58,0,50,20
palačinky s nutelou a smetanovým krémem kakao nesquik,92,0,95,10
vepřové medailonky na bílém pepři brambory opečené,55,55,0,30
pštrosí vejce bramborová kaše okurka sterilovaná,60,45,0,30
zeleninové lečo s vejci brambory vařené s petrželkou,45,0,0,60
džuveč nakládaná cibulka,40,30,0,40
obalovaná treska se sýrem bramborová kaše čerstvá zelenina,60,0,0,35
sekaný biftek bramborová kaše,70,50,0,30
kantonské nudle z vepřového masa okurka sterilovaná,45,55,0,25
šoulet s vepřovým plátkem mrkvový salát,25,50,0,35
obalovaná treska s bylinkovou omáčkou bramborová kaše kapie,60,0,0,45
vepřové kostky na kmíně rýže jasmínová,50,50,0,25
vepřová plec na kmíně rýže dušená,50,50,0,25
vepřový guláš těstoviny vařené,52,60,0,25
kuřecí paličky pečené rýže dušená,58,45,0,30
chřest s holandskou omáčkou brambory opečené,25,0,0,50
vepřenky s cibulí a hořčicí brambory vařené s petrželkou,63,55,0,35
rybí filé zapečené se sýrem brambory vařené kapie,55,0,0,40
bramborové taštičky se sýrem čerstvá zelenina,49,0,0,45
houbový kuba okurka sterilovaná,50,0,0,50
